indicator,signal,threshold,n_signals,horizon,avg_return_pct,win_rate,t_stat,direction,ticker
volume_adi,P10_long,1912218924.5713,277,fwd_1d,0.1295,54.15,1.243,long,AAPL
volume_adi,P10_long,1912218924.5713,277,fwd_2d,0.2268,55.23,1.579,long,AAPL
volume_adi,P10_long,1912218924.5713,277,fwd_3d,0.34,56.68,1.931,long,AAPL
volume_adi,P10_long,1912218924.5713,277,fwd_5d,0.6078,58.84,2.786,long,AAPL
volume_adi,P20_long,2579970819.688,554,fwd_1d,0.1128,52.35,1.65,long,AAPL
volume_adi,P20_long,2579970819.688,554,fwd_2d,0.2373,55.6,2.444,long,AAPL
volume_adi,P20_long,2579970819.688,554,fwd_3d,0.3391,56.86,2.847,long,AAPL
volume_adi,P20_long,2579970819.688,554,fwd_5d,0.5899,57.4,3.962,long,AAPL
volume_adi,P80_short,12645106445.9904,554,fwd_1d,0.0355,53.71,0.556,short,AAPL
volume_adi,P80_short,12645106445.9904,554,fwd_2d,0.1063,53.26,1.155,short,AAPL
volume_adi,P80_short,12645106445.9904,554,fwd_3d,0.1964,57.17,1.752,short,AAPL
volume_adi,P80_short,12645106445.9904,554,fwd_5d,0.351,57.01,2.469,short,AAPL
volume_adi,P90_short,13898790552.5368,277,fwd_1d,0.1103,54.71,1.368,short,AAPL
volume_adi,P90_short,13898790552.5368,277,fwd_2d,0.2277,55.27,1.951,short,AAPL
volume_adi,P90_short,13898790552.5368,277,fwd_3d,0.3293,59.85,2.277,short,AAPL
volume_adi,P90_short,13898790552.5368,277,fwd_5d,0.5217,58.09,2.813,short,AAPL
volume_obv,P10_long,1142884440.0,277,fwd_1d,0.1081,54.87,1.215,long,AAPL
volume_obv,P10_long,1142884440.0,277,fwd_2d,0.2654,53.07,2.01,long,AAPL
volume_obv,P10_long,1142884440.0,277,fwd_3d,0.4435,56.32,2.718,long,AAPL
volume_obv,P10_long,1142884440.0,277,fwd_5d,0.7536,57.4,3.681,long,AAPL
volume_obv,P20_long,2743648720.0,554,fwd_1d,0.1214,53.97,1.81,long,AAPL
volume_obv,P20_long,2743648720.0,554,fwd_2d,0.2256,55.05,2.346,long,AAPL
volume_obv,P20_long,2743648720.0,554,fwd_3d,0.3361,57.04,2.829,long,AAPL
volume_obv,P20_long,2743648720.0,554,fwd_5d,0.5438,57.94,3.665,long,AAPL
volume_obv,P80_short,6871660380.0,554,fwd_1d,0.0548,52.08,0.82,short,AAPL
volume_obv,P80_short,6871660380.0,554,fwd_2d,0.154,52.9,1.655,short,AAPL
volume_obv,P80_short,6871660380.0,554,fwd_3d,0.2051,56.44,1.779,short,AAPL
volume_obv,P80_short,6871660380.0,554,fwd_5d,0.3599,57.56,2.455,short,AAPL
