setup,barriers,n_stocks,pct_profitable,avg_ev,avg_wr,avg_pf,avg_total
IBS_15_85,1:1/3d,100,17.0,-19.672839999999997,46.571999999999996,0.8187000000000001,-10050.6201
IBS_10_90,1:1/3d,100,25.0,-21.5325,47.327,0.8599,-8233.4712
RSI2_10_90,1:1/3d,100,4.0,-35.564949999999996,40.872,0.5474,-26366.2192
IBS_15_85,1.5:1/5d,100,8.0,-45.10072,37.797,0.3829,-16025.260799999998
IBS_15_85,2:1/5d,100,8.0,-45.783919999999995,37.284,0.3394,-16083.5564
RSI3_25_75,1:1/3d,100,7.000000000000001,-45.873689999999996,41.244,0.5821999999999999,-33936.4269
IBS_10_90,1.5:1/5d,100,9.0,-46.03161,38.865,0.4155,-13281.8988
RSI3_20_80,1:1/3d,100,7.000000000000001,-46.195609999999995,41.136,0.5769,-30467.558100000002
IBS_10_90,2:1/5d,100,8.0,-46.74622,38.294000000000004,0.3664,-13334.9511
RSI2_10_90,1.5:1/5d,100,8.0,-57.984300000000005,31.906,0.29460000000000003,-29549.7147
RSI2_10_90,2:1/5d,100,9.0,-58.66246,31.593000000000004,0.2817,-29593.5519
Boll_2.5,1:1/3d,100,24.0,-59.7778,41.483999999999995,0.8164,-3179.5932000000003
Boll_2.5,1.5:1/5d,100,11.0,-65.20332,33.128,0.3722,-3407.5041
Boll_2.5,2:1/5d,100,7.000000000000001,-65.40746,32.323,0.3275,-3416.6766000000002
RSI3_20_80,1.5:1/5d,100,6.0,-65.78142,30.809,0.2837,-33032.0643
Boll_2.0,1:1/3d,100,14.000000000000002,-65.81064,39.559,0.5959,-11393.192
RSI3_25_75,1.5:1/5d,100,9.0,-66.19810000000001,30.761999999999997,0.284,-36175.418900000004
RSI3_20_80,2:1/5d,100,12.0,-66.56294,30.564,0.2729,-33065.1796
RSI3_25_75,2:1/5d,100,10.0,-66.94867,30.482,0.2756,-36208.2557
Boll_2.0,1.5:1/5d,100,8.0,-73.38358,30.19,0.3074,-11916.195600000001
Boll_2.0,2:1/5d,100,7.000000000000001,-73.54505999999999,29.441999999999997,0.2779,-11936.214899999999
