ticker,n_bets,win_rate,avg_win_pct,avg_loss_pct,ev_pct,total_pnl_pct,profit_factor,bets_per_day,setup,barriers
AAPL,537,27.4,3.568,-142.648,-102.623,-55108.41,0.01,0.213,RSI3_25_75,1.5:1/5d
MSFT,477,33.8,4.269,-4.907,-1.81,-863.41,0.44,0.19,RSI3_25_75,1.5:1/5d
AMZN,526,27.6,3.469,-1192.538,-862.84,-453854.08,0.0,0.209,RSI3_25_75,1.5:1/5d
GOOGL,527,27.5,3.42,-1202.211,-870.491,-458748.63,0.0,0.209,RSI3_25_75,1.5:1/5d
META,472,43.9,3.789,-2.84,0.067,31.86,1.04,0.187,RSI3_25_75,1.5:1/5d
NVDA,573,21.5,5.734,-2124.687,-1667.372,-955403.88,0.0,0.227,RSI3_25_75,1.5:1/5d
TSLA,557,27.5,20.345,-550.665,-393.817,-219356.05,0.01,0.221,RSI3_25_75,1.5:1/5d
AVGO,584,19.0,3.339,-824.676,-667.297,-389701.22,0.0,0.232,RSI3_25_75,1.5:1/5d
ORCL,482,30.9,3.412,-6.942,-3.741,-1803.12,0.22,0.192,RSI3_25_75,1.5:1/5d
ADBE,464,45.3,3.459,-2.414,0.244,113.18,1.18,0.184,RSI3_25_75,1.5:1/5d
JPM,472,31.1,3.855,-11.545,-6.749,-3185.31,0.15,0.188,RSI3_25_75,1.5:1/5d
BAC,472,28.6,4.389,-11.892,-7.236,-3415.23,0.15,0.188,RSI3_25_75,1.5:1/5d
WFC,467,28.7,5.681,-11.395,-6.495,-3033.21,0.2,0.186,RSI3_25_75,1.5:1/5d
GS,489,27.4,4.634,-11.584,-7.14,-3491.5,0.15,0.194,RSI3_25_75,1.5:1/5d
MS,480,29.2,4.998,-14.608,-8.889,-4266.92,0.14,0.191,RSI3_25_75,1.5:1/5d
C,479,24.4,5.306,-16.051,-10.834,-5189.63,0.11,0.19,RSI3_25_75,1.5:1/5d
BLK,482,28.0,3.764,-11.521,-7.24,-3489.79,0.13,0.191,RSI3_25_75,1.5:1/5d
SCHW,462,32.3,4.464,-6.972,-3.284,-1517.21,0.3,0.183,RSI3_25_75,1.5:1/5d
AXP,497,31.0,4.31,-6.44,-3.109,-1545.08,0.3,0.198,RSI3_25_75,1.5:1/5d
