n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,symbol,timeframe,rsi_period,oversold,overbought,pt_sl,pt_mult,sl_mult
58,27,31,46.6,1.44,2391.49,-1445.37,340.75,19763.74,0.02,8.0,3.8,7.7,NQ,60min,5,5,95,1.5:1,1.5,1.0
58,33,25,56.9,1.45,1572.89,-1436.16,275.89,16001.41,0.02,8.0,2.8,7.7,NQ,60min,5,5,95,1:1,1.0,1.0
58,21,37,36.2,1.25,3225.04,-1459.97,236.33,13707.13,0.02,8.0,5.0,7.7,NQ,60min,5,5,95,2:1,2.0,1.0
65,25,40,38.5,1.41,1496.13,-665.22,166.06,10794.21,0.02,8.0,5.6,7.8,CL,60min,5,5,95,2:1,2.0,1.0
67,27,40,40.3,1.33,1501.7,-761.1,150.78,10101.98,0.02,9.0,2.0,7.7,NQ,60min,5,5,95,1:0.5,1.0,0.5
1940,681,1259,35.1,1.13,3373.98,-1614.2,136.8,265401.36,0.67,243.0,5.3,8.0,NQ,60min,3,30,70,2:1,2.0,1.0
1862,648,1214,34.8,1.13,3395.12,-1609.16,132.39,246519.09,0.64,233.0,5.4,8.0,NQ,60min,2,20,80,2:1,2.0,1.0
2049,724,1325,35.3,1.12,3347.15,-1638.75,122.98,251988.17,0.7,256.0,5.3,8.0,NQ,60min,2,30,70,2:1,2.0,1.0
1586,556,1030,35.1,1.11,3373.32,-1633.13,121.97,193440.83,0.54,199.0,5.3,8.0,NQ,60min,3,20,80,2:1,2.0,1.0
65,29,36,44.6,1.28,1076.72,-679.76,103.9,6753.5,0.02,8.0,4.0,7.8,CL,60min,5,5,95,1.5:1,1.5,1.0
1787,618,1169,34.6,1.09,3341.02,-1621.45,94.73,169275.51,0.61,224.0,5.3,8.0,NQ,60min,3,25,75,2:1,2.0,1.0
3064,1083,1981,35.3,1.12,2392.27,-1170.24,88.96,272585.24,1.05,383.0,5.6,8.0,NQ,30min,2,15,85,2:1,2.0,1.0
2123,871,1252,41.0,1.09,2545.7,-1623.01,87.28,185294.2,0.73,266.0,4.4,8.0,NQ,60min,2,20,80,1.5:1,1.5,1.0
1494,578,916,38.7,1.2,1324.01,-693.49,87.04,130040.46,0.51,187.0,5.3,8.0,CL,60min,5,25,75,2:1,2.0,1.0
1425,547,878,38.4,1.2,1321.01,-686.53,84.08,119817.5,0.49,179.0,5.1,8.0,CL,60min,3,15,85,2:1,2.0,1.0
1752,728,1024,41.6,1.09,2503.91,-1637.57,83.32,145972.41,0.6,219.0,4.3,8.0,NQ,60min,3,20,80,1.5:1,1.5,1.0
1970,681,1289,34.6,1.08,3338.68,-1639.52,81.37,160292.64,0.68,247.0,5.4,8.0,NQ,60min,2,25,75,2:1,2.0,1.0
68,26,42,38.2,1.38,740.26,-333.0,77.36,5260.77,0.02,9.0,1.9,7.8,CL,60min,5,5,95,1:0.5,1.0,0.5
3312,1164,2148,35.1,1.1,2394.92,-1178.74,77.22,255751.94,1.14,414.0,5.6,8.0,NQ,30min,2,20,80,2:1,2.0,1.0
1664,675,989,40.6,1.08,2545.35,-1608.76,76.35,127044.35,0.57,208.0,4.3,8.0,NQ,60min,2,10,90,1.5:1,1.5,1.0
1659,570,1089,34.4,1.07,3325.15,-1624.54,76.08,126213.96,0.57,208.0,5.4,8.0,NQ,60min,5,30,70,2:1,2.0,1.0
1505,515,990,34.2,1.07,3347.45,-1629.29,73.71,110937.71,0.52,188.0,5.3,8.0,NQ,60min,2,10,90,2:1,2.0,1.0
1406,579,827,41.2,1.08,2464.42,-1600.48,73.47,103304.54,0.48,176.0,4.4,8.0,NQ,60min,3,15,85,1.5:1,1.5,1.0
2679,935,1744,34.9,1.1,2390.49,-1169.46,73.0,195569.46,0.92,335.0,5.5,8.0,NQ,30min,2,10,90,2:1,2.0,1.0
66,36,30,54.5,1.23,704.17,-686.03,72.26,4769.26,0.02,8.0,2.6,7.8,CL,60min,5,5,95,1:1,1.0,1.0
2347,962,1385,41.0,1.08,2505.72,-1618.45,71.98,168943.09,0.8,294.0,4.5,8.0,NQ,60min,2,30,70,1.5:1,1.5,1.0
1089,416,673,38.2,1.16,1308.55,-694.47,70.68,76975.96,0.37,136.0,5.1,8.0,CL,60min,5,20,80,2:1,2.0,1.0
3191,1108,2083,34.7,1.09,2401.36,-1170.78,69.56,221959.97,1.09,399.0,5.6,8.0,NQ,30min,3,25,75,2:1,2.0,1.0
1820,750,1070,41.2,1.07,2475.32,-1619.54,67.9,123575.68,0.62,228.0,4.3,8.0,NQ,60min,5,30,70,1.5:1,1.5,1.0
1782,664,1118,37.3,1.16,1348.7,-693.22,67.63,120521.37,0.61,223.0,5.3,8.0,CL,60min,2,15,85,2:1,2.0,1.0
1918,659,1259,34.4,1.09,2416.66,-1162.82,67.05,128596.84,0.66,240.0,5.4,8.0,NQ,30min,2,5,95,2:1,2.0,1.0
1684,586,1098,34.8,1.11,1971.34,-950.02,66.56,112080.56,0.58,211.0,5.4,8.0,ES,60min,5,30,70,2:1,2.0,1.0
3472,1198,2274,34.5,1.09,2413.44,-1170.18,66.34,230321.3,1.19,434.0,5.7,8.0,NQ,30min,2,25,75,2:1,2.0,1.0
1012,383,629,37.8,1.15,1303.09,-692.27,62.89,63646.94,0.35,127.0,5.1,8.0,CL,60min,3,10,90,2:1,2.0,1.0
1599,565,1034,35.3,1.1,1936.24,-962.91,61.5,98333.17,0.55,200.0,5.4,8.0,ES,60min,3,20,80,2:1,2.0,1.0
1116,495,621,44.4,1.16,996.7,-684.33,61.29,68398.19,0.38,140.0,4.2,8.0,CL,60min,5,20,80,1.5:1,1.5,1.0
1948,669,1279,34.3,1.14,1477.34,-680.31,60.69,118230.63,0.67,244.0,5.5,8.0,ES,30min,2,5,95,2:1,2.0,1.0
605,208,397,34.4,1.14,1383.92,-633.91,59.82,36192.0,0.21,76.0,5.6,8.0,ES,30min,5,10,90,2:1,2.0,1.0
1858,687,1171,37.0,1.13,1326.05,-686.46,57.67,107156.77,0.64,233.0,5.3,8.0,CL,60min,3,25,75,2:1,2.0,1.0
1687,625,1062,37.0,1.13,1328.17,-691.86,56.52,95353.73,0.58,211.0,5.1,8.0,CL,60min,3,20,80,2:1,2.0,1.0
1862,647,1215,34.7,1.09,1969.02,-962.21,56.32,104875.51,0.64,233.0,5.3,8.0,ES,60min,2,20,80,2:1,2.0,1.0
288,125,163,43.4,1.15,996.45,-664.98,56.12,16163.41,0.1,36.0,4.3,8.0,CL,60min,5,10,90,1.5:1,1.5,1.0
2252,917,1335,40.7,1.06,2511.18,-1632.08,55.03,123918.3,0.77,282.0,4.4,8.0,NQ,60min,2,25,75,1.5:1,1.5,1.0
2818,949,1869,33.7,1.07,2443.73,-1157.99,54.94,154822.91,0.97,353.0,5.6,8.0,NQ,30min,3,20,80,2:1,2.0,1.0
