n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,symbol,timeframe,rsi_period,oversold,overbought,pt_sl,pt_mult,sl_mult
11532,5664,5868,49.1,0.94,262.82,-270.31,-8.46,-97564.52,3.95,1442.0,3.7,8.0,ES,5min,2,5,95,1:1,1.0,1.0
10743,4179,6564,38.9,0.94,400.71,-272.69,-10.74,-115371.01,3.68,1343.0,5.2,8.0,ES,5min,2,5,95,1.5:1,1.5,1.0
9883,3235,6648,32.7,0.96,542.61,-275.27,-7.56,-74685.55,3.39,1236.0,6.8,8.0,ES,5min,2,5,95,2:1,2.0,1.0
13492,4476,9016,33.2,0.96,260.97,-135.51,-3.98,-53652.84,4.62,1687.0,2.1,8.0,ES,5min,2,5,95,1:0.5,1.0,0.5
18740,9260,9480,49.4,0.95,265.28,-272.19,-6.61,-123956.68,6.42,2343.0,3.7,8.0,ES,5min,2,10,90,1:1,1.0,1.0
16151,6332,9819,39.2,0.96,407.77,-274.89,-7.25,-117125.58,5.53,2020.0,5.3,8.0,ES,5min,2,10,90,1.5:1,1.5,1.0
14068,4641,9427,33.0,0.97,550.38,-277.97,-4.7,-66089.23,4.82,1759.0,6.8,8.0,ES,5min,2,10,90,2:1,2.0,1.0
23482,7761,15721,33.1,0.95,262.61,-135.89,-4.18,-98181.84,8.04,2936.0,2.1,8.0,ES,5min,2,10,90,1:0.5,1.0,0.5
23383,11545,11838,49.4,0.95,265.82,-272.69,-6.81,-159189.12,8.01,2924.0,3.6,8.0,ES,5min,2,15,85,1:1,1.0,1.0
19138,7503,11635,39.2,0.95,406.73,-276.29,-8.51,-162954.53,6.56,2393.0,5.2,8.0,ES,5min,2,15,85,1.5:1,1.5,1.0
16136,5383,10753,33.4,0.98,548.63,-280.74,-4.06,-65531.14,5.53,2018.0,6.8,8.0,ES,5min,2,15,85,2:1,2.0,1.0
30727,10220,20507,33.3,0.96,262.49,-135.86,-3.37,-103417.32,10.53,3842.0,2.1,8.0,ES,5min,2,15,85,1:0.5,1.0,0.5
26617,13175,13442,49.5,0.96,266.88,-272.64,-5.58,-148644.81,9.12,3328.0,3.6,8.0,ES,5min,2,20,80,1:1,1.0,1.0
21111,8334,12777,39.5,0.96,408.39,-276.97,-6.41,-135329.53,7.23,2640.0,5.2,8.0,ES,5min,2,20,80,1.5:1,1.5,1.0
17468,5865,11603,33.6,0.99,553.04,-281.46,-1.27,-22250.66,5.98,2184.0,6.7,8.0,ES,5min,2,20,80,2:1,2.0,1.0
36014,11919,24095,33.1,0.97,265.6,-135.31,-2.62,-94453.06,12.34,4503.0,2.1,8.0,ES,5min,2,20,80,1:0.5,1.0,0.5
28792,14292,14500,49.6,0.97,267.87,-272.91,-4.47,-128735.52,9.86,3600.0,3.6,8.0,ES,5min,2,25,75,1:1,1.0,1.0
22410,8845,13565,39.5,0.96,408.17,-277.43,-6.83,-153050.73,7.68,2802.0,5.1,8.0,ES,5min,2,25,75,1.5:1,1.5,1.0
18316,6073,12243,33.2,0.97,551.32,-280.98,-5.02,-91941.28,6.27,2290.0,6.7,8.0,ES,5min,2,25,75,2:1,2.0,1.0
40045,13245,26800,33.1,0.95,262.22,-136.03,-4.31,-172576.2,13.72,5007.0,2.1,8.0,ES,5min,2,25,75,1:0.5,1.0,0.5
30458,15055,15403,49.4,0.96,267.13,-273.1,-6.07,-184928.76,10.43,3809.0,3.6,8.0,ES,5min,2,30,70,1:1,1.0,1.0
23444,9280,14164,39.6,0.96,407.29,-276.92,-6.09,-142709.19,8.03,2932.0,5.1,8.0,ES,5min,2,30,70,1.5:1,1.5,1.0
19055,6350,12705,33.3,0.98,549.8,-280.95,-4.11,-78246.75,6.53,2383.0,6.6,8.0,ES,5min,2,30,70,2:1,2.0,1.0
43032,14136,28896,32.8,0.95,262.74,-135.89,-4.94,-212464.97,14.74,5381.0,2.1,8.0,ES,5min,2,30,70,1:0.5,1.0,0.5
3624,1781,1843,49.1,0.96,269.4,-270.54,-5.19,-18801.47,1.24,453.0,3.3,8.0,ES,5min,3,5,95,1:1,1.0,1.0
3590,1396,2194,38.9,0.93,400.55,-273.22,-11.22,-40288.11,1.23,449.0,4.8,8.0,ES,5min,3,5,95,1.5:1,1.5,1.0
3565,1178,2387,33.0,0.95,528.68,-273.66,-8.54,-30442.75,1.22,446.0,6.2,8.0,ES,5min,3,5,95,2:1,2.0,1.0
4029,1336,2693,33.2,0.97,267.12,-137.04,-3.02,-12171.61,1.38,504.0,2.0,8.0,ES,5min,3,5,95,1:0.5,1.0,0.5
9049,4349,4700,48.1,0.91,266.42,-270.33,-12.36,-111877.01,3.1,1132.0,3.5,8.0,ES,5min,3,10,90,1:1,1.0,1.0
