n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
2028,1002,1026,49.4,0.98,213.99,-212.89,-1.98,-4006.12,0.69,254.0,6.1,8.0,ES/ORB-5min,1:1
2028,805,1223,39.7,1.0,321.96,-211.26,0.4,805.04,0.69,254.0,9.0,8.0,ES/ORB-5min,1.5:1
2028,675,1353,33.3,0.98,414.78,-211.84,-3.27,-6638.26,0.69,254.0,11.6,8.0,ES/ORB-5min,2:1
2024,1028,996,50.8,1.09,157.81,-149.56,6.55,13262.1,0.69,253.0,3.7,8.0,ES/ORB-15min,1:1
2024,812,1212,40.1,1.03,235.46,-152.7,3.03,6127.28,0.69,253.0,5.4,8.0,ES/ORB-15min,1.5:1
2024,682,1342,33.7,1.02,309.11,-154.54,1.69,3429.06,0.69,253.0,7.1,8.0,ES/ORB-15min,2:1
2012,1002,1010,49.8,0.95,140.0,-145.8,-3.47,-6973.41,0.69,252.0,3.4,8.0,ES/ORB-30min,1:1
2012,806,1206,40.1,0.95,208.49,-146.56,-4.33,-8711.81,0.69,252.0,5.1,8.0,ES/ORB-30min,1.5:1
2012,680,1332,33.8,0.97,278.79,-146.1,-2.5,-5032.34,0.69,252.0,6.8,8.0,ES/ORB-30min,2:1
22020,10810,11210,49.1,0.94,251.06,-256.83,-7.5,-165045.57,7.54,2753.0,3.5,8.0,ES/VWAP-1.5σ/5min,1:1
17481,6835,10646,39.1,0.95,388.65,-261.86,-7.51,-131327.96,5.99,2186.0,5.1,8.0,ES/VWAP-1.5σ/5min,1.5:1
14722,4832,9890,32.8,0.97,529.69,-266.53,-5.2,-76531.38,5.04,1841.0,6.7,8.0,ES/VWAP-1.5σ/5min,2:1
18274,9024,9250,49.4,0.96,246.35,-250.78,-5.29,-96623.61,6.26,2285.0,3.5,8.0,ES/VWAP-2.0σ/5min,1:1
14695,5785,8910,39.4,0.97,381.02,-255.03,-4.64,-68113.07,5.03,1838.0,5.0,8.0,ES/VWAP-2.0σ/5min,1.5:1
12695,4165,8530,32.8,0.97,514.77,-258.77,-4.99,-63325.57,4.35,1587.0,6.6,8.0,ES/VWAP-2.0σ/5min,2:1
14715,7280,7435,49.5,0.96,237.98,-241.68,-4.37,-64367.57,5.04,1841.0,3.3,8.0,ES/VWAP-2.5σ/5min,1:1
11909,4690,7219,39.4,0.97,366.88,-245.54,-4.36,-51899.08,4.08,1490.0,4.8,8.0,ES/VWAP-2.5σ/5min,1.5:1
10435,3453,6982,33.1,0.99,494.93,-248.24,-2.32,-24215.29,3.58,1305.0,6.2,8.0,ES/VWAP-2.5σ/5min,2:1
11598,5670,5928,48.9,0.94,228.23,-231.73,-6.86,-79592.41,3.98,1451.0,3.2,8.0,ES/VWAP-3.0σ/5min,1:1
9477,3687,5790,38.9,0.96,352.22,-234.71,-6.36,-60292.77,3.25,1186.0,4.5,8.0,ES/VWAP-3.0σ/5min,1.5:1
8335,2709,5626,32.5,0.97,478.97,-236.66,-4.07,-33924.93,2.86,1043.0,5.7,8.0,ES/VWAP-3.0σ/5min,2:1
4834,2305,2529,47.7,0.92,472.55,-470.23,-20.69,-100001.4,1.66,605.0,3.9,8.0,ES/VWAP-1.5σ/15min,1:1
4244,1642,2602,38.7,0.95,715.54,-477.03,-15.63,-66322.22,1.45,531.0,5.3,8.0,ES/VWAP-1.5σ/15min,1.5:1
3894,1286,2608,33.0,0.99,968.2,-480.24,-1.89,-7364.9,1.33,487.0,6.4,8.0,ES/VWAP-1.5σ/15min,2:1
3619,1714,1905,47.4,0.91,465.6,-458.37,-20.77,-75165.97,1.24,453.0,3.8,8.0,ES/VWAP-2.0σ/15min,1:1
3249,1226,2023,37.7,0.93,710.51,-463.43,-20.44,-66423.79,1.11,407.0,5.1,8.0,ES/VWAP-2.0σ/15min,1.5:1
3081,981,2100,31.8,0.96,957.71,-465.8,-12.55,-38660.28,1.06,386.0,6.1,8.0,ES/VWAP-2.0σ/15min,2:1
2474,1165,1309,47.1,0.89,441.04,-438.91,-24.54,-60715.94,0.85,310.0,3.6,8.0,ES/VWAP-2.5σ/15min,1:1
2247,842,1405,37.5,0.92,672.6,-440.38,-23.32,-52403.52,0.77,281.0,4.8,8.0,ES/VWAP-2.5σ/15min,1.5:1
2165,682,1483,31.5,0.92,887.8,-446.08,-25.89,-56055.43,0.74,271.0,5.7,8.0,ES/VWAP-2.5σ/15min,2:1
1492,684,808,45.8,0.88,425.8,-407.76,-25.62,-38219.81,0.51,187.0,3.3,8.0,ES/VWAP-3.0σ/15min,1:1
1404,525,879,37.4,0.93,641.53,-411.61,-17.81,-25003.31,0.48,176.0,4.2,8.0,ES/VWAP-3.0σ/15min,1.5:1
1366,434,932,31.8,0.98,869.62,-414.06,-6.21,-8487.35,0.47,171.0,5.0,8.0,ES/VWAP-3.0σ/15min,2:1
1799,831,968,46.2,0.89,692.44,-670.49,-40.92,-73610.94,0.62,225.0,2.7,8.0,ES/VWAP-1.5σ/30min,1:1
1729,674,1055,39.0,1.01,1063.72,-670.76,5.38,9294.55,0.59,216.0,3.5,8.0,ES/VWAP-1.5σ/30min,1.5:1
1668,571,1097,34.2,1.11,1433.3,-672.5,48.37,80681.13,0.57,209.0,4.3,8.0,ES/VWAP-1.5σ/30min,2:1
1307,605,702,46.3,0.9,694.93,-661.79,-33.77,-44139.34,0.45,164.0,2.6,8.0,ES/VWAP-2.0σ/30min,1:1
1275,500,775,39.2,1.04,1065.25,-657.99,17.79,22680.98,0.44,160.0,3.4,8.0,ES/VWAP-2.0σ/30min,1.5:1
1247,433,814,34.7,1.17,1454.55,-659.2,74.77,93233.09,0.43,156.0,4.2,8.0,ES/VWAP-2.0σ/30min,2:1
838,381,457,45.5,0.84,660.35,-651.76,-55.21,-46262.48,0.29,105.0,2.6,8.0,ES/VWAP-2.5σ/30min,1:1
828,319,509,38.5,0.94,983.46,-653.92,-23.09,-19122.28,0.28,104.0,3.4,8.0,ES/VWAP-2.5σ/30min,1.5:1
821,280,541,34.1,1.07,1342.24,-648.99,30.12,24726.79,0.28,103.0,4.2,8.0,ES/VWAP-2.5σ/30min,2:1
432,196,236,45.4,0.81,639.03,-652.44,-66.5,-28727.74,0.15,54.0,2.5,8.0,ES/VWAP-3.0σ/30min,1:1
427,158,269,37.0,0.85,952.2,-656.82,-61.44,-26235.99,0.15,54.0,3.4,8.0,ES/VWAP-3.0σ/30min,1.5:1
