n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
246,86,160,35.0,1.3,4202.29,-1735.49,340.32,83717.69,0.09,31.0,5.9,7.9,"NQ/MomThrust(10,2.5)/60min",2:1
275,111,164,40.4,1.33,3065.63,-1561.35,306.27,84223.57,0.09,35.0,5.6,8.0,NQ/Inside+RSI/60min,2:1
336,125,211,37.2,1.23,3353.07,-1613.44,234.22,78698.69,0.12,42.0,5.0,7.9,NQ/RSI(3)+BB(2.5)/60min,2:1
337,126,211,37.4,1.23,3319.1,-1612.99,231.06,77865.87,0.12,43.0,5.0,7.9,NQ/RSI(2)+BB(2.5)/60min,2:1
338,126,212,37.3,1.23,3331.92,-1615.57,228.76,77321.99,0.12,43.0,5.0,7.9,NQ/RSI(5)+BB(2.5)/60min,2:1
338,126,212,37.3,1.22,3319.1,-1617.76,222.61,75241.27,0.12,43.0,5.0,7.9,NQ/RSI(3)+BB(2.5)/60min,2:1
248,99,149,39.9,1.21,3130.37,-1715.03,219.22,54367.59,0.09,31.0,4.7,7.9,"NQ/MomThrust(10,2.5)/60min",1.5:1
338,125,213,37.0,1.2,3310.2,-1619.86,203.39,68745.2,0.12,43.0,5.0,7.9,NQ/RSI(2)+BB(2.5)/60min,2:1
338,125,213,37.0,1.2,3310.2,-1619.86,203.39,68745.2,0.12,43.0,5.0,7.9,NQ/RSI(3)+BB(2.5)/60min,2:1
338,125,213,37.0,1.2,3310.2,-1619.86,203.39,68745.2,0.12,43.0,5.0,7.9,NQ/RSI(2)+BB(2.5)/60min,2:1
930,332,598,35.7,1.16,3602.91,-1720.19,180.1,167492.36,0.32,117.0,5.6,7.9,"NQ/MomThrust(10,1.5)/60min",2:1
1095,399,696,36.4,1.16,3173.52,-1569.67,158.67,173744.79,0.38,137.0,5.3,8.0,NQ/Inside/60min,2:1
669,320,349,47.8,1.43,1078.22,-690.31,155.62,104112.24,0.23,84.0,4.2,8.0,CL/RSI(3)+Kelt(2.5)/60min,1.5:1
646,261,385,40.4,1.36,1409.48,-703.17,150.39,97152.69,0.22,81.0,5.2,8.0,CL/RSI(2)+Kelt(2.5)/60min,2:1
325,116,209,35.7,1.14,3330.65,-1615.63,149.81,48688.21,0.11,41.0,5.0,7.9,NQ/RSI(5)+BB(2.5)/60min,2:1
648,261,387,40.3,1.36,1409.54,-700.78,149.21,96689.91,0.22,81.0,5.2,8.0,CL/RSI(3)+Kelt(2.5)/60min,2:1
278,123,155,44.2,1.17,2300.86,-1559.76,148.36,41243.7,0.1,35.0,4.7,8.0,NQ/Inside+RSI/60min,1.5:1
683,328,355,48.0,1.41,1069.64,-702.99,148.29,101281.06,0.23,86.0,4.2,8.0,CL/RSI(2)+Kelt(2.5)/60min,1.5:1
670,320,350,47.8,1.4,1070.18,-698.14,146.43,98109.07,0.23,84.0,4.2,8.0,CL/RSI(2)+Kelt(2.5)/60min,1.5:1
286,99,187,34.6,1.14,3416.58,-1585.03,146.3,41841.54,0.1,36.0,5.0,7.9,NQ/RSI(5)+BB(2.5)/60min,2:1
659,267,392,40.5,1.35,1400.76,-708.9,145.85,96115.39,0.23,83.0,5.3,8.0,CL/RSI(2)+Kelt(2.5)/60min,2:1
760,269,491,35.4,1.14,3392.11,-1636.54,143.34,108938.64,0.26,95.0,5.2,8.0,NQ/Hammer/60min,2:1
669,270,399,40.4,1.34,1401.25,-710.24,141.93,94952.24,0.23,84.0,5.3,8.0,CL/RSI(3)+Kelt(2.5)/60min,2:1
253,88,165,34.8,1.21,2394.35,-1059.57,141.79,35873.16,0.09,32.0,5.1,7.9,"ES/MomThrust(10,2.5)/60min",2:1
341,148,193,43.4,1.15,2441.68,-1623.46,140.88,48040.86,0.12,43.0,3.9,7.9,NQ/RSI(2)+BB(2.5)/60min,1.5:1
342,148,194,43.3,1.15,2449.87,-1626.22,137.7,47093.23,0.12,43.0,3.9,7.9,NQ/RSI(5)+BB(2.5)/60min,1.5:1
339,146,193,43.1,1.15,2466.37,-1623.95,137.66,46667.74,0.12,43.0,3.9,7.9,NQ/RSI(3)+BB(2.5)/60min,1.5:1
682,273,409,40.0,1.32,1410.86,-714.81,136.08,92807.09,0.23,86.0,5.4,8.0,CL/RSI(3)+Kelt(2.5)/60min,2:1
671,271,400,40.4,1.32,1397.05,-718.55,135.89,91180.19,0.23,84.0,5.3,8.0,CL/RSI(2)+Kelt(2.5)/60min,2:1
694,331,363,47.7,1.36,1061.18,-709.12,135.22,93840.46,0.24,87.0,4.2,8.0,CL/RSI(3)+Kelt(2.5)/60min,1.5:1
696,333,363,47.8,1.36,1062.76,-716.7,134.68,93734.47,0.24,87.0,4.2,8.0,CL/RSI(2)+Kelt(2.5)/60min,1.5:1
342,148,194,43.3,1.14,2441.68,-1628.62,132.8,45416.26,0.12,43.0,3.9,7.9,NQ/RSI(3)+BB(2.5)/60min,1.5:1
306,132,174,43.1,1.13,2489.62,-1673.29,122.47,37477.22,0.11,38.0,4.2,8.0,NQ/Hammer+RSI/60min,1.5:1
222,99,123,44.6,1.29,1224.49,-765.87,121.72,27022.73,0.08,28.0,4.5,7.9,"CL/MomThrust(10,2.5)/60min",1.5:1
