signal_id,signal_name,family,speed,avg_sharpe,avg_cagr,avg_max_dd
TS-04,TSMOM(252d),TS,slow,0.47000000000000003,1.172,5.258
MA-02,EMA(20/50),MA,medium,0.4366,1.239,5.324
MA-04,EMA(10/100),MA,asymmetric,0.4082,1.183,5.436
BR-02,Donchian(55/20),BR,slow,0.38130000000000003,0.853,4.506
SE-03,Price>EMA(100),SE,slow,0.331,0.9880000000000001,6.220000000000001
MA-01,EMA(10/30),MA,fast,0.3238,0.885,6.5329999999999995
TS-05,TSMOM(blend),TS,blend,0.323,0.9339999999999999,5.757
MA-03,SMA(50/200),MA,slow,0.2963,0.8620000000000001,6.876
TS-03,TSMOM(126d),TS,medium,0.2899,0.8620000000000001,6.448
TS-02,TSMOM(63d),TS,medium,0.2299,0.716,6.648999999999999
SE-02,Price>EMA(50),SE,medium,0.2266,0.705,7.185
TS-01,TSMOM(21d),TS,fast,0.1829,0.48599999999999993,6.973000000000001
BR-01,Donchian(20/10),BR,medium,0.1474,0.359,5.723
BR-03,"ATR Channel(20,2)",BR,medium,0.032499999999999994,0.128,5.391
SE-01,Price>EMA(20),SE,fast,0.009699999999999992,0.084,7.769
MC-03,MACD(16/36/12),MC,slow,-0.2097,-0.587,8.744
MC-01,MACD(12/26/9),MC,medium,-0.2639,-0.764,9.693999999999999
MC-02,MACD(8/21/5),MC,fast,-0.3404,-0.8699999999999999,11.061
MA-05,Hull(20/50),MA,fast,-0.3534,-0.932,10.469
