sharpe,cagr,max_dd,n_trades,n_bars,total_return,symbol,signal_id,signal_name,family,speed
0.168,0.45,8.09,77,2067,3.72,6J,MA-01,EMA(10/30),MA,fast
0.541,1.47,3.69,23,2067,12.68,6J,MA-02,EMA(20/50),MA,medium
-0.055,-0.19,6.9,11,2067,-1.57,6J,MA-03,SMA(50/200),MA,slow
0.42,1.15,5.09,29,2067,9.82,6J,MA-04,EMA(10/100),MA,asymmetric
-0.592,-1.9,17.17,137,2067,-14.57,6J,MA-05,Hull(20/50),MA,fast
-0.506,-1.59,16.55,237,2067,-12.28,6J,TS-01,TSMOM(21d),TS,fast
0.334,0.9,4.06,100,2067,7.65,6J,TS-02,TSMOM(63d),TS,medium
-0.246,-0.75,10.55,68,2067,-5.97,6J,TS-03,TSMOM(126d),TS,medium
-0.021,-0.09,7.42,77,2067,-0.77,6J,TS-04,TSMOM(252d),TS,slow
0.102,0.23,5.95,217,2067,1.94,6J,TS-05,TSMOM(blend),TS,blend
-0.311,-0.81,8.24,118,2067,-6.42,6J,BR-01,Donchian(20/10),BR,medium
0.045,0.08,3.89,58,2067,0.65,6J,BR-02,Donchian(55/20),BR,slow
-0.246,-0.56,8.08,139,2067,-4.47,6J,BR-03,"ATR Channel(20,2)",BR,medium
-0.845,-2.86,21.65,204,2067,-21.15,6J,MC-01,MACD(12/26/9),MC,medium
-1.089,-3.7,26.64,279,2067,-26.6,6J,MC-02,MACD(8/21/5),MC,fast
-0.47,-1.54,17.74,138,2067,-11.95,6J,MC-03,MACD(16/36/12),MC,slow
-0.591,-1.91,18.79,321,2067,-14.59,6J,SE-01,Price>EMA(20),SE,fast
-0.213,-0.68,11.57,187,2067,-5.47,6J,SE-02,Price>EMA(50),SE,medium
0.168,0.44,4.65,103,2067,3.65,6J,SE-03,Price>EMA(100),SE,slow
0.436,1.09,3.67,53,1966,8.79,ES,MA-01,EMA(10/30),MA,fast
0.277,0.69,5.77,31,1966,5.49,ES,MA-02,EMA(20/50),MA,medium
