sharpe,cagr,max_dd,calmar,n_trades,win_rate,profit_factor,avg_win,avg_loss,avg_hold_days,total_return,final_equity,symbol,turnover_annual,signal_id,signal_name,signal_family,signal_speed
0.292,0.74,4.76,0.155,58,31.0,2.37,4372.0,-1843.0,49.6,6.13,530626.0,ES,20.33,MA-01,EMA(10/30),MA,fast
0.206,0.53,6.02,0.088,30,26.7,2.57,6284.0,-2446.0,89.4,4.33,521654.0,ES,14.21,MA-02,EMA(20/50),MA,medium
0.421,1.0,4.59,0.218,8,37.5,3.23,14395.0,-4458.0,306.6,8.35,541775.0,ES,9.47,MA-03,SMA(50/200),MA,slow
0.268,0.68,6.87,0.099,30,23.3,4.18,8479.0,-2030.0,89.4,5.61,528055.0,ES,14.38,MA-04,EMA(10/100),MA,asymmetric
-0.394,-1.04,11.77,-0.089,126,37.3,1.19,2737.0,-2303.0,22.5,-8.1,459478.0,ES,40.89,MA-05,Hull(20/50),MA,fast
0.385,0.97,4.52,0.215,154,35.7,2.03,2284.0,-1127.0,18.6,8.08,540422.0,ES,42.11,TS-01,TSMOM(21d),TS,fast
0.563,1.36,4.13,0.33,89,33.7,2.89,2687.0,-930.0,29.3,11.52,557596.0,ES,31.03,TS-02,TSMOM(63d),TS,medium
0.129,0.32,8.29,0.039,70,20.0,4.28,5005.0,-1170.0,36.4,2.61,513067.0,ES,24.78,TS-03,TSMOM(126d),TS,medium
0.443,1.03,4.02,0.257,31,12.9,8.25,10883.0,-1320.0,74.0,8.63,543167.0,ES,15.93,TS-04,TSMOM(252d),TS,slow
0.402,0.95,5.29,0.179,96,32.3,2.34,2425.0,-1034.0,24.2,7.92,539585.0,ES,33.6,TS-05,TSMOM(blend),TS,blend
0.153,0.34,5.14,0.067,66,39.4,1.48,2743.0,-1855.0,35.3,2.8,514012.0,ES,25.82,BR-01,Donchian(20/10),BR,medium
0.462,0.96,4.3,0.224,27,66.7,1.2,3263.0,-2730.0,69.1,8.03,540161.0,ES,16.34,BR-02,Donchian(55/20),BR,slow
-0.11,-0.23,5.49,-0.043,76,36.8,1.46,2517.0,-1723.0,23.8,-1.87,490637.0,ES,35.98,BR-03,"ATR Channel(20,2)",BR,medium
0.051,0.13,5.19,0.026,176,37.5,1.66,2554.0,-1540.0,16.5,1.08,505397.0,ES,54.28,MC-01,MACD(12/26/9),MC,medium
0.241,0.62,3.21,0.192,244,37.3,1.95,2280.0,-1169.0,11.9,5.07,525351.0,ES,71.81,MC-02,MACD(8/21/5),MC,fast
-0.213,-0.57,7.65,-0.074,142,34.5,1.44,2652.0,-1837.0,20.4,-4.46,477678.0,ES,43.57,MC-03,MACD(16/36/12),MC,slow
0.114,0.29,5.91,0.05,234,27.8,2.74,2601.0,-948.0,12.4,2.4,512011.0,ES,62.41,SE-01,Price>EMA(20),SE,fast
0.498,1.24,5.04,0.246,130,28.5,3.43,2883.0,-839.0,22.3,10.45,552243.0,ES,35.38,SE-02,Price>EMA(50),SE,medium
0.228,0.58,7.26,0.08,96,15.6,5.39,4860.0,-902.0,27.9,4.79,523928.0,ES,29.47,SE-03,Price>EMA(100),SE,slow
0.433,1.05,3.81,0.276,60,30.0,2.74,4825.0,-1762.0,48.4,8.79,543940.0,NQ,19.49,MA-01,EMA(10/30),MA,fast
0.37,0.9,3.49,0.259,40,30.0,2.66,4811.0,-1809.0,67.0,7.51,537551.0,NQ,15.56,MA-02,EMA(20/50),MA,medium
0.724,1.63,3.61,0.452,8,50.0,6.27,18669.0,-2978.0,305.8,13.92,569602.0,NQ,9.12,MA-03,SMA(50/200),MA,slow
0.63,1.5,3.27,0.46,26,42.3,2.54,5364.0,-2111.0,103.1,12.77,563869.0,NQ,12.93,MA-04,EMA(10/100),MA,asymmetric
-0.415,-1.07,10.18,-0.105,122,37.7,1.12,2575.0,-2294.0,23.2,-8.29,458544.0,NQ,37.69,MA-05,Hull(20/50),MA,fast
0.511,1.23,3.1,0.398,154,30.5,2.65,2931.0,-1106.0,18.6,10.36,551790.0,NQ,40.89,TS-01,TSMOM(21d),TS,fast
0.471,1.11,4.5,0.247,71,38.0,1.87,2644.0,-1412.0,36.7,9.34,546678.0,NQ,23.67,TS-02,TSMOM(63d),TS,medium
0.569,1.32,5.28,0.251,38,23.7,4.45,6085.0,-1368.0,67.1,11.17,555874.0,NQ,14.82,TS-03,TSMOM(126d),TS,medium
0.545,1.22,3.93,0.311,37,18.9,4.64,5568.0,-1199.0,62.0,10.28,551411.0,NQ,17.77,TS-04,TSMOM(252d),TS,slow
0.548,1.24,3.94,0.316,72,38.9,1.93,2393.0,-1241.0,32.9,10.48,552393.0,NQ,25.76,TS-05,TSMOM(blend),TS,blend
0.464,0.97,3.26,0.298,62,40.3,1.81,3281.0,-1814.0,35.2,8.11,540533.0,NQ,24.92,BR-01,Donchian(20/10),BR,medium
0.539,1.12,2.59,0.433,26,53.8,1.73,4290.0,-2485.0,77.4,9.4,546982.0,NQ,15.14,BR-02,Donchian(55/20),BR,slow
0.13,0.26,3.49,0.073,74,40.5,1.49,2586.0,-1739.0,23.7,2.08,510383.0,NQ,35.74,BR-03,"ATR Channel(20,2)",BR,medium
-0.029,-0.07,6.17,-0.012,160,35.6,1.67,2753.0,-1651.0,18.1,-0.59,497072.0,NQ,48.75,MC-01,MACD(12/26/9),MC,medium
