signal_id,signal_name,family,speed,portfolio_sharpe,portfolio_cagr,portfolio_max_dd,portfolio_calmar
TS-04,TSMOM(252d),TS,slow,0.974,1.22,1.6,0.763
MA-04,EMA(10/100),MA,asymmetric,0.91,1.31,1.87,0.698
MA-03,SMA(50/200),MA,slow,0.861,1.15,1.65,0.699
MA-02,EMA(20/50),MA,medium,0.783,1.16,1.76,0.658
SE-02,Price>EMA(50),SE,medium,0.745,1.05,1.93,0.546
TS-05,TSMOM(blend),TS,blend,0.739,0.99,1.8,0.547
SE-03,Price>EMA(100),SE,slow,0.732,1.04,2.43,0.428
BR-02,Donchian(55/20),BR,slow,0.728,0.88,1.75,0.5
TS-02,TSMOM(63d),TS,medium,0.722,1.02,2.02,0.504
MA-01,EMA(10/30),MA,fast,0.691,1.01,2.41,0.419
TS-03,TSMOM(126d),TS,medium,0.522,0.71,2.17,0.329
BR-01,Donchian(20/10),BR,medium,0.4,0.51,1.8,0.287
TS-01,TSMOM(21d),TS,fast,0.343,0.51,2.37,0.214
BR-03,"ATR Channel(20,2)",BR,medium,0.094,0.11,1.71,0.062
SE-01,Price>EMA(20),SE,fast,0.018,0.02,2.28,0.007
MC-01,MACD(12/26/9),MC,medium,-0.047,-0.08,3.49,-0.023
MC-03,MACD(16/36/12),MC,slow,-0.085,-0.14,4.39,-0.031
MA-05,Hull(20/50),MA,fast,-0.325,-0.49,6.49,-0.076
MC-02,MACD(8/21/5),MC,fast,-0.329,-0.49,4.33,-0.114
