sharpe,cagr_pct,max_dd_pct,calmar,realized_vol_pct,total_return_pct,final_equity,skew,kurtosis,n_years,allocation,vol_method,vol_window,vol_target,rebalance_freq,signal_id,signal_name,test,rebal_threshold
1.026,5.09,6.38,0.798,5.82,35.12,675620.0,-0.147,1.875,6.1,equal_weight,atr,20,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
1.019,5.48,5.31,1.03,6.46,42.94,714711.0,-0.209,2.498,6.7,equal_weight,atr,20,0.12,daily,MA-04,EMA(10/100),vol_estimation,
0.862,4.66,6.02,0.774,6.23,32.73,663663.0,-0.227,2.231,6.2,equal_weight,atr,20,0.12,daily,MA-03,SMA(50/200),vol_estimation,
0.967,5.03,5.17,0.972,6.18,38.96,694784.0,-0.088,2.657,6.7,equal_weight,atr,20,0.12,daily,MA-02,EMA(20/50),vol_estimation,
0.915,4.42,7.03,0.628,6.04,33.6,668009.0,0.009,1.989,6.7,equal_weight,atr,20,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
0.991,4.98,6.28,0.793,5.84,34.27,671363.0,-0.224,1.994,6.1,equal_weight,atr,40,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
1.017,5.67,4.95,1.147,6.68,44.1,720513.0,-0.27,3.0,6.6,equal_weight,atr,40,0.12,daily,MA-04,EMA(10/100),vol_estimation,
0.875,4.81,6.4,0.751,6.31,33.9,669518.0,-0.261,2.267,6.2,equal_weight,atr,40,0.12,daily,MA-03,SMA(50/200),vol_estimation,
0.923,4.99,4.42,1.128,6.35,38.02,690087.0,-0.092,3.446,6.6,equal_weight,atr,40,0.12,daily,MA-02,EMA(20/50),vol_estimation,
0.894,4.52,6.54,0.691,6.27,34.03,670152.0,0.091,2.958,6.6,equal_weight,atr,40,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
0.927,4.69,6.66,0.704,5.84,32.04,660218.0,-0.276,2.425,6.1,equal_weight,atr,60,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
0.943,5.39,4.73,1.14,6.76,40.98,704885.0,-0.336,3.838,6.5,equal_weight,atr,60,0.12,daily,MA-04,EMA(10/100),vol_estimation,
0.855,4.79,6.16,0.778,6.42,33.8,668977.0,-0.319,2.589,6.2,equal_weight,atr,60,0.12,daily,MA-03,SMA(50/200),vol_estimation,
0.827,4.58,5.18,0.883,6.42,34.02,670083.0,-0.103,4.681,6.5,equal_weight,atr,60,0.12,daily,MA-02,EMA(20/50),vol_estimation,
0.867,4.57,6.44,0.71,6.51,33.93,669667.0,0.182,4.404,6.5,equal_weight,atr,60,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
0.161,1.51,22.74,0.066,11.23,9.51,547570.0,-24.001,795.999,6.1,equal_weight,ewma,20,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
0.26,2.56,22.88,0.112,11.51,18.44,592179.0,-21.743,721.253,6.7,equal_weight,ewma,20,0.12,daily,MA-04,EMA(10/100),vol_estimation,
0.168,1.65,24.03,0.069,11.33,10.74,553675.0,-22.055,716.47,6.2,equal_weight,ewma,20,0.12,daily,MA-03,SMA(50/200),vol_estimation,
0.185,1.68,22.69,0.074,10.74,11.78,558891.0,-21.357,705.516,6.7,equal_weight,ewma,20,0.12,daily,MA-02,EMA(20/50),vol_estimation,
0.168,1.27,22.11,0.057,11.27,8.82,544081.0,-23.446,799.905,6.7,equal_weight,ewma,20,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
-0.016,-0.39,29.83,-0.013,13.66,-2.32,488417.0,-30.859,1114.4,6.1,equal_weight,ewma,40,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
0.088,1.06,30.19,0.035,14.18,7.2,536019.0,-29.744,1092.372,6.6,equal_weight,ewma,40,0.12,daily,MA-04,EMA(10/100),vol_estimation,
-0.023,-0.42,30.64,-0.014,13.65,-2.59,487048.0,-29.928,1078.353,6.2,equal_weight,ewma,40,0.12,daily,MA-03,SMA(50/200),vol_estimation,
0.005,-0.08,29.99,-0.003,13.13,-0.53,497361.0,-29.467,1079.813,6.6,equal_weight,ewma,40,0.12,daily,MA-02,EMA(20/50),vol_estimation,
-0.001,-0.48,29.7,-0.016,13.9,-3.16,484212.0,-30.848,1148.626,6.6,equal_weight,ewma,40,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
-0.113,-2.0,35.3,-0.057,15.69,-11.55,442249.0,-33.843,1260.757,6.1,equal_weight,ewma,60,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
-0.015,-0.38,35.74,-0.011,16.29,-2.45,487740.0,-33.113,1255.846,6.5,equal_weight,ewma,60,0.12,daily,MA-04,EMA(10/100),vol_estimation,
-0.113,-1.94,35.97,-0.054,15.72,-11.49,442540.0,-33.326,1245.156,6.2,equal_weight,ewma,60,0.12,daily,MA-03,SMA(50/200),vol_estimation,
-0.094,-1.61,35.53,-0.045,15.06,-10.05,449751.0,-32.844,1243.085,6.5,equal_weight,ewma,60,0.12,daily,MA-02,EMA(20/50),vol_estimation,
-0.068,-1.6,35.35,-0.045,16.32,-10.03,449849.0,-33.763,1290.292,6.5,equal_weight,ewma,60,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
0.036,0.26,28.93,0.009,13.39,1.56,507805.0,-28.916,1021.536,6.1,equal_weight,realized,20,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
0.121,1.37,28.99,0.047,13.53,9.53,547633.0,-27.264,975.735,6.7,equal_weight,realized,20,0.12,daily,MA-04,EMA(10/100),vol_estimation,
0.024,0.17,30.32,0.006,13.21,1.07,505348.0,-27.474,961.709,6.2,equal_weight,realized,20,0.12,daily,MA-03,SMA(50/200),vol_estimation,
0.08,0.79,28.7,0.028,12.65,5.43,527172.0,-26.72,950.782,6.7,equal_weight,realized,20,0.12,daily,MA-02,EMA(20/50),vol_estimation,
0.056,0.2,28.25,0.007,13.38,1.32,506604.0,-28.568,1040.578,6.7,equal_weight,realized,20,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
-0.1,-1.97,38.41,-0.051,17.18,-11.36,443214.0,-34.25,1281.033,6.1,equal_weight,realized,40,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
-0.028,-0.65,38.87,-0.017,17.65,-4.24,478799.0,-33.92,1301.97,6.6,equal_weight,realized,40,0.12,daily,MA-04,EMA(10/100),vol_estimation,
-0.097,-1.83,39.12,-0.047,17.02,-10.85,445727.0,-33.667,1262.159,6.2,equal_weight,realized,40,0.12,daily,MA-03,SMA(50/200),vol_estimation,
-0.08,-1.52,38.66,-0.039,16.45,-9.64,451800.0,-33.537,1283.169,6.6,equal_weight,realized,40,0.12,daily,MA-02,EMA(20/50),vol_estimation,
-0.085,-2.05,38.94,-0.053,17.57,-12.79,436047.0,-34.528,1334.651,6.6,equal_weight,realized,40,0.12,daily,SE-02,Price>EMA(50),vol_estimation,
-0.204,-4.77,46.25,-0.103,20.15,-25.65,371743.0,-36.284,1383.64,6.1,equal_weight,realized,60,0.12,daily,TS-04,TSMOM(252d),vol_estimation,
-0.144,-3.39,46.84,-0.072,20.59,-20.22,398922.0,-36.293,1419.407,6.5,equal_weight,realized,60,0.12,daily,MA-04,EMA(10/100),vol_estimation,
