sharpe,cagr_pct,max_dd_pct,calmar,realized_vol_pct,total_return_pct,final_equity,skew,kurtosis,n_years,allocation,vol_method,vol_window,vol_target,rebalance_freq,signal_id,signal_name,cost_mult,annual_cost_drag_pct,adjusted_cagr
1.13,5.76,5.99,0.962,5.99,40.43,702166.0,-0.133,1.825,6.1,equal_weight,atr,20,0.12,weekly,TS-04,TSMOM(252d),0.0,0.0,5.76
1.058,5.8,4.05,1.435,6.6,45.95,729743.0,-0.232,2.526,6.7,equal_weight,atr,20,0.12,weekly,MA-04,EMA(10/100),0.0,0.0,5.8
0.832,4.53,6.41,0.707,6.23,31.75,658753.0,-0.22,2.239,6.2,equal_weight,atr,20,0.12,weekly,MA-03,SMA(50/200),0.0,0.0,4.53
0.817,4.28,5.46,0.784,6.07,32.39,661971.0,-0.18,2.373,6.7,equal_weight,atr,20,0.12,weekly,MA-02,EMA(20/50),0.0,0.0,4.28
0.815,4.34,7.24,0.599,6.33,32.91,664560.0,-0.046,2.618,6.7,equal_weight,atr,20,0.12,weekly,SE-02,Price>EMA(50),0.0,0.0,4.34
1.13,5.76,5.99,0.962,5.99,40.43,702166.0,-0.133,1.825,6.1,equal_weight,atr,20,0.12,weekly,TS-04,TSMOM(252d),0.5,0.14,5.62
1.058,5.8,4.05,1.435,6.6,45.95,729743.0,-0.232,2.526,6.7,equal_weight,atr,20,0.12,weekly,MA-04,EMA(10/100),0.5,0.14,5.66
0.832,4.53,6.41,0.707,6.23,31.75,658753.0,-0.22,2.239,6.2,equal_weight,atr,20,0.12,weekly,MA-03,SMA(50/200),0.5,0.12,4.41
0.817,4.28,5.46,0.784,6.07,32.39,661971.0,-0.18,2.373,6.7,equal_weight,atr,20,0.12,weekly,MA-02,EMA(20/50),0.5,0.14,4.14
0.815,4.34,7.24,0.599,6.33,32.91,664560.0,-0.046,2.618,6.7,equal_weight,atr,20,0.12,weekly,SE-02,Price>EMA(50),0.5,0.21,4.13
1.13,5.76,5.99,0.962,5.99,40.43,702166.0,-0.133,1.825,6.1,equal_weight,atr,20,0.12,weekly,TS-04,TSMOM(252d),1.0,0.28,5.48
1.058,5.8,4.05,1.435,6.6,45.95,729743.0,-0.232,2.526,6.7,equal_weight,atr,20,0.12,weekly,MA-04,EMA(10/100),1.0,0.27,5.53
0.832,4.53,6.41,0.707,6.23,31.75,658753.0,-0.22,2.239,6.2,equal_weight,atr,20,0.12,weekly,MA-03,SMA(50/200),1.0,0.24,4.29
0.817,4.28,5.46,0.784,6.07,32.39,661971.0,-0.18,2.373,6.7,equal_weight,atr,20,0.12,weekly,MA-02,EMA(20/50),1.0,0.27,4.01
0.815,4.34,7.24,0.599,6.33,32.91,664560.0,-0.046,2.618,6.7,equal_weight,atr,20,0.12,weekly,SE-02,Price>EMA(50),1.0,0.42,3.92
1.13,5.76,5.99,0.962,5.99,40.43,702166.0,-0.133,1.825,6.1,equal_weight,atr,20,0.12,weekly,TS-04,TSMOM(252d),2.0,0.56,5.2
1.058,5.8,4.05,1.435,6.6,45.95,729743.0,-0.232,2.526,6.7,equal_weight,atr,20,0.12,weekly,MA-04,EMA(10/100),2.0,0.54,5.26
0.832,4.53,6.41,0.707,6.23,31.75,658753.0,-0.22,2.239,6.2,equal_weight,atr,20,0.12,weekly,MA-03,SMA(50/200),2.0,0.49,4.04
0.817,4.28,5.46,0.784,6.07,32.39,661971.0,-0.18,2.373,6.7,equal_weight,atr,20,0.12,weekly,MA-02,EMA(20/50),2.0,0.55,3.73
0.815,4.34,7.24,0.599,6.33,32.91,664560.0,-0.046,2.618,6.7,equal_weight,atr,20,0.12,weekly,SE-02,Price>EMA(50),2.0,0.84,3.5
1.13,5.76,5.99,0.962,5.99,40.43,702166.0,-0.133,1.825,6.1,equal_weight,atr,20,0.12,weekly,TS-04,TSMOM(252d),3.0,0.84,4.92
1.058,5.8,4.05,1.435,6.6,45.95,729743.0,-0.232,2.526,6.7,equal_weight,atr,20,0.12,weekly,MA-04,EMA(10/100),3.0,0.81,4.99
0.832,4.53,6.41,0.707,6.23,31.75,658753.0,-0.22,2.239,6.2,equal_weight,atr,20,0.12,weekly,MA-03,SMA(50/200),3.0,0.73,3.8
0.817,4.28,5.46,0.784,6.07,32.39,661971.0,-0.18,2.373,6.7,equal_weight,atr,20,0.12,weekly,MA-02,EMA(20/50),3.0,0.82,3.46
0.815,4.34,7.24,0.599,6.33,32.91,664560.0,-0.046,2.618,6.7,equal_weight,atr,20,0.12,weekly,SE-02,Price>EMA(50),3.0,1.26,3.08
