strategy,n_trades,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,trades_per_year,turnover_pct,n_stocks_traded,sub_periods
RSI2_5_hold1,73427,49.45,1.282,-1.328,-64.31,-8.66,-0.245,-0.276,-64.39,6454.0,32270.0,166,"{'2014-2017': {'sharpe': -0.36, 'return_pct': -20.48}, '2018-2021': {'sharpe': 0.01, 'return_pct': -21.48}, '2022-2024': {'sharpe': -0.906, 'return_pct': -41.59}}"
RSI2_5_hold2,63723,50.83,1.758,-1.826,-32.85,-3.44,-0.023,-0.024,-64.5,5603.0,28015.0,166,"{'2014-2017': {'sharpe': 0.296, 'return_pct': 14.59}, '2018-2021': {'sharpe': -0.133, 'return_pct': -27.67}, '2022-2024': {'sharpe': -0.174, 'return_pct': -21.74}}"
RSI2_5_hold3,55767,51.39,2.214,-2.216,54.85,3.92,0.28,0.285,-54.06,4905.2,24525.8,166,"{'2014-2017': {'sharpe': 0.273, 'return_pct': 13.66}, '2018-2021': {'sharpe': 0.435, 'return_pct': 43.53}, '2022-2024': {'sharpe': -0.085, 'return_pct': -15.86}}"
RSI2_10_hold1,78337,49.44,1.276,-1.324,-67.34,-9.37,-0.267,-0.302,-67.41,6885.6,34427.8,166,"{'2014-2017': {'sharpe': -0.408, 'return_pct': -23.5}, '2018-2021': {'sharpe': -0.012, 'return_pct': -24.39}, '2022-2024': {'sharpe': -0.895, 'return_pct': -42.67}}"
RSI2_10_hold2,67290,50.92,1.753,-1.824,-32.73,-3.43,-0.017,-0.017,-64.64,5916.6,29583.2,166,"{'2014-2017': {'sharpe': 0.337, 'return_pct': 18.06}, '2018-2021': {'sharpe': -0.125, 'return_pct': -27.53}, '2022-2024': {'sharpe': -0.196, 'return_pct': -23.98}}"
RSI2_10_hold3,58451,51.41,2.198,-2.214,46.58,3.42,0.263,0.264,-54.64,5141.2,25706.2,166,"{'2014-2017': {'sharpe': 0.173, 'return_pct': 5.48}, '2018-2021': {'sharpe': 0.429, 'return_pct': 41.53}, '2022-2024': {'sharpe': -0.054, 'return_pct': -14.31}}"
RSI2_15_hold1,83544,49.39,1.275,-1.316,-67.78,-9.47,-0.258,-0.294,-67.82,7343.2,36716.2,166,"{'2014-2017': {'sharpe': -0.391, 'return_pct': -23.62}, '2018-2021': {'sharpe': 0.002, 'return_pct': -23.58}, '2022-2024': {'sharpe': -0.862, 'return_pct': -43.06}}"
RSI2_15_hold2,71086,50.91,1.747,-1.818,-34.54,-3.66,-0.019,-0.019,-64.63,6250.4,31252.0,166,"{'2014-2017': {'sharpe': 0.369, 'return_pct': 20.85}, '2018-2021': {'sharpe': -0.111, 'return_pct': -27.4}, '2022-2024': {'sharpe': -0.222, 'return_pct': -26.47}}"
RSI2_15_hold3,61239,51.38,2.185,-2.204,44.43,3.29,0.258,0.261,-53.67,5386.5,26932.3,166,"{'2014-2017': {'sharpe': 0.184, 'return_pct': 6.24}, '2018-2021': {'sharpe': 0.473, 'return_pct': 49.55}, '2022-2024': {'sharpe': -0.116, 'return_pct': -19.05}}"
RSI2_20_hold1,89100,49.33,1.271,-1.308,-69.71,-9.97,-0.268,-0.311,-69.93,7831.6,39158.0,166,"{'2014-2017': {'sharpe': -0.501, 'return_pct': -29.29}, '2018-2021': {'sharpe': 0.043, 'return_pct': -19.16}, '2022-2024': {'sharpe': -0.904, 'return_pct': -45.57}}"
