strategy,n_trades,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,trades_per_year,turnover_pct,n_stocks_traded,sub_periods,n_positive_periods,sub_period_sharpes
Down5_IBS0.3_hold2,4096,54.79,2.19,-1.855,42.25,3.15,0.569,0.795,-5.69,360.7,1803.3,166,"{'2014-2017': {'sharpe': 0.524, 'return_pct': 16.33}, '2018-2021': {'sharpe': 0.571, 'return_pct': 9.2}, '2022-2024': {'sharpe': 0.844, 'return_pct': 10.8}}",3,"{'2014-2017': 0.524, '2018-2021': 0.571, '2022-2024': 0.844}"
Down5_IBS0.25_hold2,3709,54.65,2.197,-1.845,37.78,2.86,0.528,0.762,-5.16,326.6,1632.9,166,"{'2014-2017': {'sharpe': 0.464, 'return_pct': 14.22}, '2018-2021': {'sharpe': 0.604, 'return_pct': 9.07}, '2022-2024': {'sharpe': 0.827, 'return_pct': 9.66}}",3,"{'2014-2017': 0.464, '2018-2021': 0.604, '2022-2024': 0.827}"
MFI_20_hold3,3600,54.83,2.753,-2.835,21.47,1.73,0.405,0.279,-20.4,318.1,1590.5,166,"{'2014-2017': {'sharpe': 0.988, 'return_pct': 10.02}, '2018-2021': {'sharpe': 0.064, 'return_pct': 0.83}, '2022-2024': {'sharpe': 0.636, 'return_pct': 8.29}}",3,"{'2014-2017': 0.988, '2018-2021': 0.064, '2022-2024': 0.636}"
MFI_15_hold2,1613,55.49,2.221,-2.281,8.91,0.76,0.394,0.287,-5.52,142.5,712.4,166,"{'2014-2017': {'sharpe': 0.601, 'return_pct': 2.82}, '2018-2021': {'sharpe': 0.317, 'return_pct': 3.13}, '2022-2024': {'sharpe': 0.363, 'return_pct': 2.24}}",3,"{'2014-2017': 0.601, '2018-2021': 0.317, '2022-2024': 0.363}"
MFI_15_hold3,1397,56.41,2.722,-2.881,9.94,0.84,0.389,0.216,-8.27,123.4,617.2,166,"{'2014-2017': {'sharpe': 0.367, 'return_pct': 1.75}, '2018-2021': {'sharpe': 0.25, 'return_pct': 2.91}, '2022-2024': {'sharpe': 0.625, 'return_pct': 3.94}}",3,"{'2014-2017': 0.367, '2018-2021': 0.25, '2022-2024': 0.625}"
MFI_20_hold2,4147,53.34,2.22,-2.196,17.05,1.4,0.384,0.378,-13.98,366.3,1831.5,166,"{'2014-2017': {'sharpe': 0.603, 'return_pct': 5.51}, '2018-2021': {'sharpe': 0.085, 'return_pct': 1.13}, '2022-2024': {'sharpe': 0.614, 'return_pct': 8.78}}",3,"{'2014-2017': 0.603, '2018-2021': 0.085, '2022-2024': 0.614}"
Triple_IBS20_RSI3_30_SMA15,1639,53.87,3.087,-2.873,14.16,1.18,0.378,0.259,-9.04,145.1,725.6,111,"{'2014-2017': {'sharpe': -0.196, 'return_pct': -0.89}, '2018-2021': {'sharpe': 0.342, 'return_pct': 6.21}, '2022-2024': {'sharpe': 0.87, 'return_pct': 8.26}}",2,"{'2014-2017': -0.196, '2018-2021': 0.342, '2022-2024': 0.87}"
BB-2.5_RSI3_35_hold5,4254,54.37,3.183,-3.254,26.4,2.1,0.339,0.194,-26.72,376.9,1884.7,166,"{'2014-2017': {'sharpe': 1.257, 'return_pct': 23.37}, '2018-2021': {'sharpe': 0.111, 'return_pct': 2.45}, '2022-2024': {'sharpe': -0.155, 'return_pct': -1.88}}",2,"{'2014-2017': 1.257, '2018-2021': 0.111, '2022-2024': -0.155}"
BB-2.5_RSI3_30_hold5,4216,54.44,3.164,-3.253,25.32,2.02,0.331,0.187,-26.84,373.6,1867.8,166,"{'2014-2017': {'sharpe': 1.286, 'return_pct': 24.09}, '2018-2021': {'sharpe': 0.059, 'return_pct': 0.27}, '2022-2024': {'sharpe': -0.093, 'return_pct': -1.18}}",2,"{'2014-2017': 1.286, '2018-2021': 0.059, '2022-2024': -0.093}"
BB-2.5_RSI3_40_hold5,4271,54.3,3.177,-3.253,25.46,2.03,0.329,0.188,-26.72,378.4,1892.2,166,"{'2014-2017': {'sharpe': 1.253, 'return_pct': 23.29}, '2018-2021': {'sharpe': 0.108, 'return_pct': 2.32}, '2022-2024': {'sharpe': -0.206, 'return_pct': -2.43}}",2,"{'2014-2017': 1.253, '2018-2021': 0.108, '2022-2024': -0.206}"
